address_name,address_url,address_price,address_price_url,address_type,address_type_url,address_rooms,address_rooms_url,address_bathrooms,address_bathrooms_url
"Hillbrook House, Off Newbridge Avenue, Sandymount, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/sandymount/hillbrook-house-off-newbridge-avenue-sandymount-dublin-2271161/,"€950,000",https://www.daft.ie/dublin/houses-for-sale/sandymount/hillbrook-house-off-newbridge-avenue-sandymount-dublin-2271161/,Detached House,https://www.daft.ie/dublin/houses-for-sale/sandymount/hillbrook-house-off-newbridge-avenue-sandymount-dublin-2271161/,3,https://www.daft.ie/dublin/houses-for-sale/sandymount/hillbrook-house-off-newbridge-avenue-sandymount-dublin-2271161/,2,https://www.daft.ie/dublin/houses-for-sale/sandymount/hillbrook-house-off-newbridge-avenue-sandymount-dublin-2271161/
"80 South Lotts Road, Ringsend, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/dublin-4/80-south-lotts-road-ringsend-dublin-4-dublin-2271089/,"€495,000",https://www.daft.ie/dublin/houses-for-sale/dublin-4/80-south-lotts-road-ringsend-dublin-4-dublin-2271089/,End of Terrace House,https://www.daft.ie/dublin/houses-for-sale/dublin-4/80-south-lotts-road-ringsend-dublin-4-dublin-2271089/,3,https://www.daft.ie/dublin/houses-for-sale/dublin-4/80-south-lotts-road-ringsend-dublin-4-dublin-2271089/,2,https://www.daft.ie/dublin/houses-for-sale/dublin-4/80-south-lotts-road-ringsend-dublin-4-dublin-2271089/
"4 Estate Cottages, Shelbourne Road, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/4-estate-cottages-shelbourne-road-ballsbridge-dublin-2270786/,"€865,000",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/4-estate-cottages-shelbourne-road-ballsbridge-dublin-2270786/,Terraced House,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/4-estate-cottages-shelbourne-road-ballsbridge-dublin-2270786/,3,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/4-estate-cottages-shelbourne-road-ballsbridge-dublin-2270786/,2,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/4-estate-cottages-shelbourne-road-ballsbridge-dublin-2270786/
"6 The Court, Donnybrook Castle, Donnybrook, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/dublin-4/6-the-court-donnybrook-castle-donnybrook-dublin-4-dublin-2270590/,"€1,550,000",https://www.daft.ie/dublin/houses-for-sale/dublin-4/6-the-court-donnybrook-castle-donnybrook-dublin-4-dublin-2270590/,Semi-Detached House,https://www.daft.ie/dublin/houses-for-sale/dublin-4/6-the-court-donnybrook-castle-donnybrook-dublin-4-dublin-2270590/,4,https://www.daft.ie/dublin/houses-for-sale/dublin-4/6-the-court-donnybrook-castle-donnybrook-dublin-4-dublin-2270590/,3,https://www.daft.ie/dublin/houses-for-sale/dublin-4/6-the-court-donnybrook-castle-donnybrook-dublin-4-dublin-2270590/
"40 Ballsbridge Wood, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/40-ballsbridge-wood-ballsbridge-dublin-2270601/,"€395,000",https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/40-ballsbridge-wood-ballsbridge-dublin-2270601/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/40-ballsbridge-wood-ballsbridge-dublin-2270601/,1,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/40-ballsbridge-wood-ballsbridge-dublin-2270601/,1,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/40-ballsbridge-wood-ballsbridge-dublin-2270601/
"Apartment 47, Block C, The Moorings, Fitzwilliam Quay, Ringsend, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-47-block-c-the-moorings-fitzwilliam-quay-ringsend-dublin-2269695/,"€395,000",https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-47-block-c-the-moorings-fitzwilliam-quay-ringsend-dublin-2269695/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-47-block-c-the-moorings-fitzwilliam-quay-ringsend-dublin-2269695/,2,https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-47-block-c-the-moorings-fitzwilliam-quay-ringsend-dublin-2269695/,2,https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-47-block-c-the-moorings-fitzwilliam-quay-ringsend-dublin-2269695/
"1 Donnybrook Mews, Donnybrook, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/donnybrook/1-donnybrook-mews-donnybrook-dublin-2269690/,"€695,000",https://www.daft.ie/dublin/houses-for-sale/donnybrook/1-donnybrook-mews-donnybrook-dublin-2269690/,Detached House,https://www.daft.ie/dublin/houses-for-sale/donnybrook/1-donnybrook-mews-donnybrook-dublin-2269690/,3,https://www.daft.ie/dublin/houses-for-sale/donnybrook/1-donnybrook-mews-donnybrook-dublin-2269690/,0,https://www.daft.ie/dublin/houses-for-sale/donnybrook/1-donnybrook-mews-donnybrook-dublin-2269690/
"Apartment 44, Block A, The Moorings, Fitzwilliam Quay, Ringsend, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-44-block-a-the-moorings-fitzwilliam-quay-ringsend-dublin-2269637/,"€395,000",https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-44-block-a-the-moorings-fitzwilliam-quay-ringsend-dublin-2269637/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-44-block-a-the-moorings-fitzwilliam-quay-ringsend-dublin-2269637/,2,https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-44-block-a-the-moorings-fitzwilliam-quay-ringsend-dublin-2269637/,1,https://www.daft.ie/dublin/apartments-for-sale/ringsend/apartment-44-block-a-the-moorings-fitzwilliam-quay-ringsend-dublin-2269637/
"33 Anglesea Road, Ballsbridge, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/33-anglesea-road-ballsbridge-ballsbridge-dublin-2269609/,"€1,300,000",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/33-anglesea-road-ballsbridge-ballsbridge-dublin-2269609/,Semi-Detached House,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/33-anglesea-road-ballsbridge-ballsbridge-dublin-2269609/,5,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/33-anglesea-road-ballsbridge-ballsbridge-dublin-2269609/,5,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/33-anglesea-road-ballsbridge-ballsbridge-dublin-2269609/
"50 Aikenhead Terrace, Stella Gardens, Ringsend, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ringsend/50-aikenhead-terrace-stella-gardens-ringsend-dublin-2269262/,"€450,000",https://www.daft.ie/dublin/houses-for-sale/ringsend/50-aikenhead-terrace-stella-gardens-ringsend-dublin-2269262/,End of Terrace House,https://www.daft.ie/dublin/houses-for-sale/ringsend/50-aikenhead-terrace-stella-gardens-ringsend-dublin-2269262/,2,https://www.daft.ie/dublin/houses-for-sale/ringsend/50-aikenhead-terrace-stella-gardens-ringsend-dublin-2269262/,1,https://www.daft.ie/dublin/houses-for-sale/ringsend/50-aikenhead-terrace-stella-gardens-ringsend-dublin-2269262/
